Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100001	29080.5043	40750.0594	11.6168	29080.5049	40750.0608	11.6159	0.6	1.4	-0.9	0.0	1.5	-0.9
XYZ1100002	29080.6155	40752.3042	11.6077	29080.6151	40752.305	11.6064	-0.4	0.8	-1.3	-0.1	0.9	-1.3
XYZ1100003	29084.4929	40751.8797	11.6231	29084.4921	40751.88	11.6216	-0.8	0.3	-1.5	-0.6	0.6	-1.5
XYZ1100004	29085.983	40752.3691	11.627	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100005	29078.8015	40754.5195	11.6263	29078.8008	40754.5203	11.6253	-0.7	0.8	-1.0	-0.4	1.0	-1.0
XYZ1100006	29080.1096	40754.9461	11.6265	29080.1087	40754.9467	11.6253	-0.9	0.6	-1.2	-0.6	0.9	-1.2
XYZ1100007	29082.7952	40755.8736	11.637	29082.795	40755.8742	11.6359	-0.2	0.6	-1.1	0.0	0.6	-1.1
XYZ1100008	29084.0905	40756.7434	11.6326	29084.0897	40756.7438	11.6318	-0.8	0.4	-0.8	-0.6	0.7	-0.8
XYZ1100009	29077.3539	40759.3466	11.6765	29077.3528	40759.3478	11.676	-1.1	1.2	-0.5	-0.6	1.5	-0.5
XYZ1100010	29078.4368	40759.5713	11.683	29078.4361	40759.5724	11.6824	-0.7	1.1	-0.6	-0.2	1.3	-0.6
XYZ1100011	29080.8955	40760.6536	11.6882	29080.8946	40760.6538	11.6878	-0.9	0.2	-0.4	-0.8	0.5	-0.4
XYZ1100012	29082.3088	40761.659	11.6851	29082.3079	40761.6594	11.6849	-0.9	0.4	-0.2	-0.7	0.7	-0.2
XYZ1100013	29074.636	40764.6279	11.7067	29074.6352	40764.6286	11.7066	-0.8	0.7	-0.1	-0.5	0.9	-0.1
XYZ1100014	29076.4213	40764.8108	11.7145	29076.4202	40764.811	11.7144	-1.1	0.2	-0.1	-0.9	0.6	-0.1
XYZ1100015	29078.8965	40765.9767	11.716	29078.8959	40765.9764	11.7158	-0.6	-0.3	-0.2	-0.7	-0.1	-0.2
XYZ1100016	29080.3575	40766.3041	11.7141	29080.3566	40766.3046	11.7138	-0.9	0.5	-0.3	-0.7	0.8	-0.3
XYZ1100017	29073.0377	40768.6895	11.7156	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
