Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.2691	35174.4848	88.5702	0.6	0.5	0.5	0.2	-0.8	0.5
IBB102	28612.0273	35170.6779	88.3948	28612.0274	35170.678	88.3954	0.1	0.1	0.6	0.0	-0.1	0.6
IBB103	28608.8041	35167.7047	88.2711	28608.8051	35167.7049	88.2712	1.0	0.2	0.1	-0.3	-1.0	0.1
IBB104	28605.0811	35164.5172	88.129	28605.0814	35164.5175	88.1295	0.3	0.3	0.5	0.1	-0.4	0.5
IBB105	28601.1909	35161.4041	87.9768	28601.1913	35161.4044	87.977	0.4	0.3	0.2	0.1	-0.5	0.2
IBB106	28598.4228	35159.2386	87.8722	28598.4236	35159.2393	87.8724	0.8	0.7	0.2	0.3	-1.0	0.2
IBB107	28595.6039	35157.079	87.7629	28595.6042	35157.0793	87.7632	0.3	0.3	0.3	0.1	-0.4	0.3
IBB108	28593.3919	35155.4117	87.6753	28593.392	35155.4119	87.6756	0.1	0.2	0.3	0.1	-0.2	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1113	35153.7298	87.5897	0.3	0.2	0.3	0.0	-0.4	0.3
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0496	87.4991	0.3	0.4	0.0	0.2	-0.5	0.0
IBB111	28584.7995	35149.5052	87.3405	28584.7991	35149.5052	87.3403	-0.4	0.0	-0.2	0.2	0.4	-0.2
IBB112	28582.831	35148.0547	87.2748	28582.8306	35148.0546	87.2749	-0.4	-0.1	0.1	0.1	0.4	0.1
IBB113	28581.2886	35146.825	87.2318	28581.2882	35146.8249	87.232	-0.4	-0.1	0.2	0.1	0.4	0.2
IBB114	28578.8655	35145.2284	87.1388	28578.865	35145.2282	87.1388	-0.5	-0.2	0.0	0.1	0.5	0.0
IBB115	28576.505	35143.6828	87.0596	28576.5044	35143.6824	87.0596	-0.6	-0.4	0.0	-0.1	0.7	0.0
IBB116	28573.575	35141.8635	86.955	28573.5743	35141.8634	86.955	-0.7	-0.1	0.0	0.2	0.7	0.0
IBB117	28570.5845	35140.004	86.8455	28570.5837	35140.0038	86.8457	-0.8	-0.2	0.2	0.2	0.8	0.2
IBB118	28567.5497	35138.1324	86.7422	28567.5488	35138.1323	86.7428	-0.9	-0.1	0.6	0.3	0.8	0.6
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0485	86.6819	-0.3	-0.2	0.3	0.0	0.4	0.3
IBB120	28563.2736	35135.6048	86.5966	28563.2732	35135.6046	86.597	-0.4	-0.2	0.4	0.0	0.4	0.4
IBB121	28560.1941	35133.8424	86.4897	28560.1936	35133.8421	86.4896	-0.5	-0.3	-0.1	0.0	0.6	-0.1
IBB122	28557.5031	35132.3903	86.3932	28557.5028	35132.3898	86.3936	-0.3	-0.5	0.4	-0.3	0.5	0.4
IBB123	28554.9843	35131.0199	86.3089	28554.9841	35131.0194	86.3088	-0.2	-0.5	-0.1	-0.4	0.4	-0.1
IBB124	28552.5109	35129.7042	86.2201	28552.5112	35129.7038	86.2205	0.3	-0.4	0.4	-0.5	-0.1	0.4
IBB125	28550.0265	35128.3888	86.1457	28550.0264	35128.3882	86.1458	-0.1	-0.6	0.1	-0.5	0.4	0.1
IBB126	28546.9205	35126.812	86.0411	28546.9204	35126.8117	86.0411	-0.1	-0.3	0.0	-0.2	0.2	0.0
IBB127	28544.3875	35125.5733	85.9594	28544.3878	35125.5723	85.9587	0.3	-1.0	-0.7	-1.0	0.2	-0.7
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2836	35123.2181	85.7924	0.4	-0.5	0.2	-0.6	-0.1	0.2
IBB130	28536.7317	35121.9781	85.7061	28536.7315	35121.9779	85.7063	-0.2	-0.2	0.2	-0.1	0.3	0.2
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9161	35119.4145	85.5181	0.1	-0.2	0.4	-0.2	0.0	0.4
IBB133	28528.9479	35118.6688	85.4391	28528.9472	35118.6681	85.4391	-0.7	-0.7	0.0	-0.3	0.9	0.0
IBB134	28525.8057	35117.3319	85.3398	28525.8049	35117.3319	85.3395	-0.8	0.0	-0.3	0.4	0.7	-0.3
IBB135	28522.5441	35116.0553	85.231	28522.5432	35116.055	85.2313	-0.9	-0.3	0.3	0.1	0.9	0.3
