Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100001	29080.5043	40750.0594	11.6168	29080.5043	40750.0608	11.6163	0.0	1.4	-0.5	0.5	1.3	-0.5
XYZ1100002	29080.6155	40752.3042	11.6077	29080.6151	40752.3047	11.6068	-0.4	0.5	-0.9	-0.2	0.6	-0.9
XYZ1100003	29084.4929	40751.8797	11.6231	29084.4921	40751.8798	11.6217	-0.8	0.1	-1.4	-0.7	0.4	-1.4
XYZ1100004	29085.983	40752.3691	11.627	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100005	29078.8015	40754.5195	11.6263	29078.8008	40754.5202	11.6254	-0.7	0.7	-0.9	-0.4	0.9	-0.9
XYZ1100006	29080.1096	40754.9461	11.6265	29080.1088	40754.9465	11.6253	-0.8	0.4	-1.2	-0.6	0.7	-1.2
XYZ1100007	29082.7952	40755.8736	11.637	29082.7947	40755.8741	11.6362	-0.5	0.5	-0.8	-0.3	0.6	-0.8
XYZ1100008	29084.0905	40756.7434	11.6326	29084.0893	40756.7437	11.632	-1.2	0.3	-0.6	-1.0	0.7	-0.6
XYZ1100009	29077.3539	40759.3466	11.6765	29077.3533	40759.3475	11.6765	-0.6	0.9	0.0	-0.2	1.1	0.0
XYZ1100010	29078.4368	40759.5713	11.683	29078.4361	40759.5724	11.6824	-0.7	1.1	-0.6	-0.2	1.3	-0.6
XYZ1100011	29080.8955	40760.6536	11.6882	29080.8947	40760.6537	11.6879	-0.8	0.1	-0.3	-0.7	0.4	-0.3
XYZ1100012	29082.3088	40761.659	11.6851	29082.3079	40761.6593	11.6849	-0.9	0.3	-0.2	-0.7	0.6	-0.2
XYZ1100013	29074.636	40764.6279	11.7067	29074.635	40764.6283	11.7064	-1.0	0.4	-0.3	-0.8	0.7	-0.3
XYZ1100014	29076.4213	40764.8108	11.7145	29076.4206	40764.8109	11.7147	-0.7	0.1	0.2	-0.6	0.4	0.2
XYZ1100015	29078.8965	40765.9767	11.716	29078.8958	40765.9762	11.7162	-0.7	-0.5	0.2	-0.8	-0.2	0.2
XYZ1100016	29080.3575	40766.3041	11.7141	29080.3566	40766.3045	11.7142	-0.9	0.4	0.1	-0.7	0.7	0.1
XYZ1100017	29073.0377	40768.6895	11.7156	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100018	29074.3498	40769.2219	11.7171	29074.3496	40769.2224	11.7171	-0.2	0.5	0.0	0.0	0.5	0.0
XYZ1100019	29077.1884	40769.7648	11.7263	29077.1878	40769.7643	11.7262	-0.6	-0.5	-0.1	-0.7	-0.2	-0.1
XYZ1100020	29078.7106	40770.3083	11.7243	29078.7099	40770.3077	11.724	-0.7	-0.6	-0.3	-0.9	-0.3	-0.3
XYZ1100021	29071.1576	40773.1665	11.6956	29071.1568	40773.1666	11.6949	-0.8	0.1	-0.7	-0.7	0.4	-0.7
XYZ1100022	29071.7537	40774.3152	11.6923	29071.7529	40774.3156	11.6921	-0.8	0.4	-0.2	-0.6	0.7	-0.2
XYZ1100023	29075.2974	40774.5815	11.7083	29075.2966	40774.5815	11.7079	-0.8	0.0	-0.4	-0.7	0.3	-0.4
